story_id,premise,initial,counterfactual,original_ending,edited_ending,differences
410bbdbd-300d-44e1-b107-733b453ccf33,Mary decided to clean her kitchen.,The floor was filthy!,The floor was clean so she scrubbed the oven.,She sent her kids outside to play. Then she got on her knees and scrubbed the whole floor. After an hour the floor was gleaming and Mary was very pleased.,She sent her kids outside to play. Then she got on her knees and scrubbed the whole oven. After an hour the oven was gleaming and Mary was very pleased.,"oven., oven"
513b9bfa-7e67-4704-b426-e8b2e600a3dc,Craig just graduated high school and wants a job.,He gets the daily newspaper and checks out the help wanted ads.,He decides to travel to avoid thinking about it.,He draws up his resume. One of the people where he applies calls him for an interview. He calls them back and schedules an interview.,He draws up his itinerary. One of the places he wants to visit calls him for his information. He calls them back and gives it to him.,"gives, to, wants, itinerary., it, visit, information., him., places"
98e0f71e-679e-4e45-98ab-5f0794300bbf,Bay wanted to play football.,He practiced every day after school.,He wasn't that good so he didn't pursue joining the football team.,Then he tried his best on tryout day. He was so excited when the team posted the results. Bay made it on the football team.,He tried out for the baseball team instead. He was so excited when the team posted the results. Bay made it on the baseball team.,"out, baseball, for, instead."
31759123-0873-4010-9145-8b4d93a6d8ee,George had to go to court.,He had to pay a parking ticket.,George was confident he would win his civil case against his former employer.,"He arrived at his local city council. He waited in line. Eventually, George was able to pay the ticket.","He arrived at his local city council. He waited in line. Eventually, George was able to win his case.","win, case."
31759123-0873-4010-9145-8b4d93a6d8ee,George had to go to court.,He had to pay a parking ticket.,George was confident he would win his civil case against his former employer.,"He arrived at his local city council. He waited in line. Eventually, George was able to pay the ticket.",He arrived at his local city council. He waited in line. Eventually George was able to get in front of the judge.,"of, Eventually, judge., front, get"
7ff5e61e-29db-4b1e-a099-e024351069ce,It was Mother's Day and Jill wanted to do something special for her mom.,She got up early so she could fix her mom breakfast.,She made a reservation for brunch.,"Everything started off well, with toast and pancakes. Unfortunately she burned the toast to a crisp. But Jill's mother was grateful anyway.","Everything started off well, with toast and pancakes. Unfortunately the chef burned the toast to a crisp. But Jill's mother was grateful anyway.",chef
7ff5e61e-29db-4b1e-a099-e024351069ce,It was Mother's Day and Jill wanted to do something special for her mom.,She got up early so she could fix her mom breakfast.,She made a reservation for brunch.,"Everything started off well, with toast and pancakes. Unfortunately she burned the toast to a crisp. But Jill's mother was grateful anyway.","Everything started off well, with toast and pancakes. Unfortunately, the restaurant staff burned the toast to a crisp. But Jill's mother was grateful anyway.","restaurant, Unfortunately,, staff"
1aa76d42-75e0-4dad-b03a-b934cc538d7f,Last week I ran into the cutest girl ever.,We were both at the grocery store and our eyes met.,We were both at the grocery store and she disappeared out the door.,I mustered up the courage to ask for her number. She said no. I went on about my day.,I wished I had asked for her number. She probably would have said no. I went on about my day.,"probably, had, have, would, wished, asked"
fc416bf8-23b2-41af-b4bf-ffc544321166,Felipe had been interested in Germany since he was a young child.,He learned about the language and culture by reading library books.,He visited Germany many times during his childhood.,"Finally in college he was able to visit Berlin. Felipe loved the German art, food, and beer. Felipe visited Germany again later in his life.","Again, in college, he was able to visit Berlin. Felipe loved the German art, food, and beer, as he always had. Felipe visited Germany many times again later in his life.","Again,, college,, times, always, beer,, many, had., as"
fc416bf8-23b2-41af-b4bf-ffc544321166,Felipe had been interested in Germany since he was a young child.,He learned about the language and culture by reading library books.,He visited Germany many times during his childhood.,"Finally in college he was able to visit Berlin. Felipe loved the German art, food, and beer. Felipe visited Germany again later in his life.","Finally in college he was able to visit Berlin again. Felipe loved the German art, food, and beer. Felipe visited Germany many more times in his life.","more, times, again., many, Berlin"
f3cbf50b-9f9b-451f-86c6-e51a42d896fe,The office worker claimed she was the best multitasker in the world.,"Her boss wanted her to prove it, so she gave her a bunch of jobs.",Her boss didn't have much work for her to do.,The worker cracked her knuckles and began the list of jobs. The worker worked with a great flurry and speed. All projects were completed on time and all were  correct.,The worker cracked her knuckles and began the list of jobs the boss didn't remember. The worker worked with a great flurry and speed. All projects were completed and all were correct and she surprised the boss.,"didn't, surprised, remember., jobs, she, boss., correct, boss"
f3cbf50b-9f9b-451f-86c6-e51a42d896fe,The office worker claimed she was the best multitasker in the world.,"Her boss wanted her to prove it, so she gave her a bunch of jobs.",Her boss didn't have much work for her to do.,The worker cracked her knuckles and began the list of jobs. The worker worked with a great flurry and speed. All projects were completed on time and all were  correct.,The worker cracked her knuckles and began the list of jobs she had noticed on her own. The worker worked with a great flurry and speed. All projects were completed and all were correct. The boss was surprised.,"noticed, surprised., had, jobs, she, was, own., boss"
400c550f-0662-4db5-96dd-513e63bcf9aa,Gina was at her grandpa's funeral.,She didn't want to see the body.,She wanted to see her grandpa's body.,"But her mother insisted they all view it. Gina tried, but was unable to talk her way out of it. Gina went up to her grandpa and saw he was finally at peace.",Her mother insisted that they not view it. Gina tried and was able to talk her way into it. Gina went up to her grandpa and saw he was finally at peace,"not, tried, into, able, Her, that, peace"
216f7449-646f-4a86-9492-e39ff49ed8e0,Gavin had always wanted to use a bow and arrow.,He found a local archery range and an instructor to teach him.,There were no local archery ranges nearby to teach him.,"At first Gavin had trouble shooting arrows accurately. However, he did not give up. Gradually, Gavin's archery skills improved.","At first Gavin had trouble shooting arrows accurately, then he took lessons in a distant town. He did not give up. Gradually, Gavin's archery skills improved.","then, lessons, He, accurately,, took, town., in, a, distant"
216f7449-646f-4a86-9492-e39ff49ed8e0,Gavin had always wanted to use a bow and arrow.,He found a local archery range and an instructor to teach him.,There were no local archery ranges nearby to teach him.,"At first Gavin had trouble shooting arrows accurately. However, he did not give up. Gradually, Gavin's archery skills improved.","He tried to look it up on the Internet. However, he couldn't find much information. He decided to give up.","tried, much, decided, to, He, look, it, information., couldn't, find, on, the, Internet., up"
928f4dbe-10d1-4fe5-a80f-707a13ae87ed,It was Gina's turn to choose classes at school.,She was enrolling late and there weren't many classes left.,She enrolled early and had many options.,"She hated the majority of what she was offered. Since she had few choices she took Spanish, and gym. Gina ended up really loving the Spanish class.","She hated the majority of what she was offered. Since she had so many choices she took Spanish, and gym. Gina ended up really loving the Spanish class.","many, so"
928f4dbe-10d1-4fe5-a80f-707a13ae87ed,It was Gina's turn to choose classes at school.,She was enrolling late and there weren't many classes left.,She enrolled early and had many options.,"She hated the majority of what she was offered. Since she had few choices she took Spanish, and gym. Gina ended up really loving the Spanish class.",She loved the majority of what she was offered. She took Spanish and gym. Gina ended up really loving the Spanish class.,loved
928f4dbe-10d1-4fe5-a80f-707a13ae87ed,It was Gina's turn to choose classes at school.,She was enrolling late and there weren't many classes left.,She enrolled early and had many options.,"She hated the majority of what she was offered. Since she had few choices she took Spanish, and gym. Gina ended up really loving the Spanish class.","She hated the majority of what she was offered even with all the options. Since she had to fulfill electives she took Spanish, and gym. Gina ended up really loving the Spanish class.","to, options., offered, with, fulfill, electives, all, even"
800bfc77-cb2f-4cf6-b2d3-97252578c30b,Blake wanted to marry his girlfriend.,He had the money for a ring.,He couldn't afford a ring.,However he didn't know what ring to buy. Blake called his girlfriend's sister for help. The sister helped him find the perfect ring.,However he knew exactly what ring to buy. Blake called his girlfriend's sister for help. The sister helped him find the money to buy the perfect ring.,"money, knew, buy, exactly"
800bfc77-cb2f-4cf6-b2d3-97252578c30b,Blake wanted to marry his girlfriend.,He had the money for a ring.,He couldn't afford a ring.,However he didn't know what ring to buy. Blake called his girlfriend's sister for help. The sister helped him find the perfect ring.,He had the perfect one picked out but it was so expensive. Blake called his parents for help. They loaned him money to buy the perfect ring.,"out, money, picked, so, parents, He, had, it, was, They, buy, but, one, loaned, expensive."
1cf146c4-44a3-46db-9964-8c5ec70d2d6e,Tracy made up a story about a unicorn for her daughter.,Her daughter laughed when Tracy told the story.,Her daughter covered her ears when Tracy told the story.,"Her daughter wanted to write the story down in a book. Tracy helped her write it down, and she drew illustrations. They gave the book to her dad for father's day.","Her daughter wanted to hear the story the next day though and write it down in a book. Tracy helped her write it down, and she drew illustrations. They gave the book to her dad for father's day.","though, hear, day, next"
7629fd20-239e-4906-b7e0-1835165e0232,I had always wanted to get a puppy.,I finally felt I was ready to adopt one.,But I knew I couldn't afford the care a dog deserves.,A friend gave me the name and number for a breeder. I visited her to see the puppies available. I found the puppy I wanted and brought her home.,A friend was a dog breeder and had plenty of puppies at home. I visited my friend just to see the puppies available. I fount the perfect puppy but didn't bring her home.,"didn't, my, breeder, dog, just, fount, had, of, was, at, but, perfect, plenty, bring"
7629fd20-239e-4906-b7e0-1835165e0232,I had always wanted to get a puppy.,I finally felt I was ready to adopt one.,But I knew I couldn't afford the care a dog deserves.,A friend gave me the name and number for a breeder. I visited her to see the puppies available. I found the puppy I wanted and brought her home.,A friend gave me the name and number for a cat breeder. I visited her to see the kittens available. I found the cat I wanted and brought her home cause she's cheaper than a dog.,"home, she's, cheaper, cause, cat, than, dog., kittens"
13e2cf9c-e34b-4a02-8bd5-e8c21ac52eb8,Patricia grew up in the 1980's.,She was inspired by the glam rockers she listened to.,She liked all the music of the 80s except glam rock.,She learned guitar so she could be a glam rocker someday. As an adult she gathered talent and started a band. The band went on to be very successful.,She learned guitar so she could be in a death metal band someday. As an adult she gathered talent and started a band. The band went on to be very successful.,"metal, death, in"
13e2cf9c-e34b-4a02-8bd5-e8c21ac52eb8,Patricia grew up in the 1980's.,She was inspired by the glam rockers she listened to.,She liked all the music of the 80s except glam rock.,She learned guitar so she could be a glam rocker someday. As an adult she gathered talent and started a band. The band went on to be very successful.,She learned guitar so she could be a heavy metal rocker someday. As an adult she gathered talent and started a band. The band went on to be very successful.,"heavy, metal"
bf4ebc30-7357-43e6-a773-ed6f30175ef0,David's father had painstakingly assembled a collection of rare coins.,"One day, he found some of his prized coins missing.",He gave the collection to David for his birthday.,He questioned Davis about their absence. David had taken them for lunch money! David was grounded by his father.,He questioned David about whether he liked them. David had taken them for lunch money! David was grounded by his father.,"he, whether, them., liked"
bf4ebc30-7357-43e6-a773-ed6f30175ef0,David's father had painstakingly assembled a collection of rare coins.,"One day, he found some of his prized coins missing.",He gave the collection to David for his birthday.,He questioned Davis about their absence. David had taken them for lunch money! David was grounded by his father.,"One day, he noticed the prized coins went missing so  he questioned Davis about their absence. David used it for lunch money! David was grounded by his father.","One, day,, coins, used, went, noticed, so, prized, missing, it, the, he"
e0e06bfc-34f4-431e-92a3-fcdea4e7f1f9,Charles and his friends went to Universal Studios.,They visited the Harry Potter portion of the park.,They saw that the Harry Potter portion of the park was closed.,"They boarded the Hogwarts Express at King's Cross. The got off the train at Hogsmeade at the Islands of Adventure. When the trip was over, Charles and his friends went home.","They boarded the Simpsons Ride instead. The got off the ride at the Springfield themed area. When the trip was over, Charles and his friends went home.","area., Ride, themed, ride, Springfield, instead., Simpsons"
e0e06bfc-34f4-431e-92a3-fcdea4e7f1f9,Charles and his friends went to Universal Studios.,They visited the Harry Potter portion of the park.,They saw that the Harry Potter portion of the park was closed.,"They boarded the Hogwarts Express at King's Cross. The got off the train at Hogsmeade at the Islands of Adventure. When the trip was over, Charles and his friends went home.",They could not board the Hogwarts Express at King's Cross. So they could not get off the train at Hogsmeade at the Islands of Adventure. The trip was over so Charles and his friends went home.,"not, over, so, could, they, board, So, get"
e0e06bfc-34f4-431e-92a3-fcdea4e7f1f9,Charles and his friends went to Universal Studios.,They visited the Harry Potter portion of the park.,They saw that the Harry Potter portion of the park was closed.,"They boarded the Hogwarts Express at King's Cross. The got off the train at Hogsmeade at the Islands of Adventure. When the trip was over, Charles and his friends went home.","They boarded the Hogwarts Express at King's Cross the next time they visited though. They got off the train at Hogsmeade at the Islands of Adventure. When the trip was over, Charles and his friends went home.","Cross, next, though., visited, they, time"
fe581e85-10b8-455e-80f6-5937770d4952,Nancy took her son to see some of her friends.,Her friends decided to smoke and offered a cigarette.,Her friends decided to smoke and left Nancy in the other room.,"Although she had a baby on her, she decided to smoke. Her son ending up crying from the smoke. Nancy was a thoughtless parent.","Nancy had a baby with her, so she decided to avoid the smoke. Her son ending up crying from the smell anyway. Nancy's friends had acted thoughtlessly toward a parent.","so, thoughtlessly, acted, toward, Nancy's, avoid, anyway., with, smell, friends"
fe581e85-10b8-455e-80f6-5937770d4952,Nancy took her son to see some of her friends.,Her friends decided to smoke and offered a cigarette.,Her friends decided to smoke and left Nancy in the other room.,"Although she had a baby on her, she decided to smoke. Her son ending up crying from the smoke. Nancy was a thoughtless parent.","Although she had a baby on her, she decided to smoke and went in the other oom. Her son ending up crying from the smoke. Nancy was a thoughtless parent.","and, went, other, oom., in, smoke"
c4116a2f-9962-4149-aa2a-20e9b0da640c,Harry needed to find a hotel room for a week.,Barry decided to research on the internet for hotel options.,Barry decided to use the hotel he always uses.,"After selecting two hotel companies, Harry had to make a decision. After comparing, Barry decided on a hotel. Harry and Ben loved Barry's choice.","After selecting the hotel chain, Barry had to make a decision. After comparing, Barry decided on the specific hotel. Harry loved Barry's choice.","the, specific, chain,"
c4116a2f-9962-4149-aa2a-20e9b0da640c,Harry needed to find a hotel room for a week.,Barry decided to research on the internet for hotel options.,Barry decided to use the hotel he always uses.,"After selecting two hotel companies, Harry had to make a decision. After comparing, Barry decided on a hotel. Harry and Ben loved Barry's choice.",This hotel always had the best prices. It was a nice hotel in a good location. Harry and Ben loved Barry's choice.,"prices., location., good, It, was, always, the, This, nice, in, best"
ea2f808c-3e83-41c2-867f-97e520aca85e,Tina went to the park to go on a run.,It was a glorious day outside as she ran across the field.,It was a freezing winter day.,She stopped at a bench to take a rest. A butterfly landed on her hand. Tina admired the butterfly.,She stopped at a bench to take a rest. A snowflake landed on her hand. Tina admired the snowflake.,"snowflake, snowflake."
ea2f808c-3e83-41c2-867f-97e520aca85e,Tina went to the park to go on a run.,It was a glorious day outside as she ran across the field.,It was a freezing winter day.,She stopped at a bench to take a rest. A butterfly landed on her hand. Tina admired the butterfly.,She stopped at a bench to take a rest. A snowflakes landed on her hand. Tina admired the snowflakes.,"snowflakes, snowflakes."
ea2f808c-3e83-41c2-867f-97e520aca85e,Tina went to the park to go on a run.,It was a glorious day outside as she ran across the field.,It was a freezing winter day.,She stopped at a bench to take a rest. A butterfly landed on her hand. Tina admired the butterfly.,She stopped at a bench to take a rest. A snowflake landed on her hand. Tina admired the snowflake.,"snowflake, snowflake."
98f922f3-d279-4d4b-b793-70a46d28dd0c,Ed's family had moved to a rural area.,Ed learned that he was to be homeschooled.,There was only one public school for Ed in town.,At first he was apprehensive. But then his mom started to make lessons fun! He loved his mom's lessons.,At first he was apprehensive. But then his tutor started to make lessons fun! He loved his tutor's lessons.,"tutor's, tutor"
98f922f3-d279-4d4b-b793-70a46d28dd0c,Ed's family had moved to a rural area.,Ed learned that he was to be homeschooled.,There was only one public school for Ed in town.,At first he was apprehensive. But then his mom started to make lessons fun! He loved his mom's lessons.,At first he was apprehensive. But then his teacher started to make lessons fun! He loved his teacher's lessons.,"teacher, teacher's"
98f922f3-d279-4d4b-b793-70a46d28dd0c,Ed's family had moved to a rural area.,Ed learned that he was to be homeschooled.,There was only one public school for Ed in town.,At first he was apprehensive. But then his mom started to make lessons fun! He loved his mom's lessons.,At first he was apprehensive. But then the teacher started to make lessons fun! He loved his teacher's lessons.,"teacher, the, teacher's"
dedf5688-6b20-47aa-b153-66738da47f40,Gina was at the library at school.,She wanted to find books about dolphins.,She searched for books about lions.,She looked on the shelf where she thought they would be. But there were no books about dolphins. Gina went home without checking out a book.,She looked on the shelf where she thought they would be. But there were no books about lions. Gina went home without checking out a book.,lions.
dedf5688-6b20-47aa-b153-66738da47f40,Gina was at the library at school.,She wanted to find books about dolphins.,She searched for books about lions.,She looked on the shelf where she thought they would be. But there were no books about dolphins. Gina went home without checking out a book.,She looked on the shelf where she thought they would be. But there were no books about lions. Gina went home without checking out a book.,lions.
dedf5688-6b20-47aa-b153-66738da47f40,Gina was at the library at school.,She wanted to find books about dolphins.,She searched for books about lions.,She looked on the shelf where she thought they would be. But there were no books about dolphins. Gina went home without checking out a book.,She looked on the shelf where she thought they would be. But there were no books about lions. Gina went home without checking out a book.,lions.
6365bd9d-86a3-4fcb-890b-0e2dc6a4c66e,Candy was nervous about her upcoming airplane trip.,Her sister gave her some sleeping pills to help her relax.,She decided to cancel her trip.,"Candy hated taking pills, but once on the plane, she felt differently. She was too nervous and took the pills despite herself. She didn't wake up until the plane landed.",She felt badly about this decision. She was just too nervous too fly. She woke up regretting her decision.,"her, just, decision., fly., woke, this, badly, about, regretting"
6365bd9d-86a3-4fcb-890b-0e2dc6a4c66e,Candy was nervous about her upcoming airplane trip.,Her sister gave her some sleeping pills to help her relax.,She decided to cancel her trip.,"Candy hated taking pills, but once on the plane, she felt differently. She was too nervous and took the pills despite herself. She didn't wake up until the plane landed.",Candy hated airplaine rides. She was too nervous but still felt bad for cancelling. She didn't sleep from being nervous all night.,"for, night., airplaine, sleep, bad, still, rides., being, cancelling., all, from"
9a0b056b-485f-4387-8643-1c0919d5f6f7,Marcus wanted a new hat.,After he checked his piggy bank he went to the mall.,"After he checked his piggy bank, he realized it was empty.","He went inside the hat store and tried on various hats. After he found a hat he liked, he bought it. Marcus wore the hat the next day.",He went inside the hat store and tried on various hats. He found a hat he liked but knew he couldn't buy it today. Marcus asked his mom if she would buy it for him.,"for, liked, today., knew, it, would, she, him., couldn't, buy, asked, his, but, if, mom"
9a0b056b-485f-4387-8643-1c0919d5f6f7,Marcus wanted a new hat.,After he checked his piggy bank he went to the mall.,"After he checked his piggy bank, he realized it was empty.","He went inside the hat store and tried on various hats. After he found a hat he liked, he bought it. Marcus wore the hat the next day.","He went inside the hat store and tried on various hats. After he found a hat he liked, he borrowed money for it. Marcus wore the hat the next day.","money, for, borrowed"
9a0b056b-485f-4387-8643-1c0919d5f6f7,Marcus wanted a new hat.,After he checked his piggy bank he went to the mall.,"After he checked his piggy bank, he realized it was empty.","He went inside the hat store and tried on various hats. After he found a hat he liked, he bought it. Marcus wore the hat the next day.","He went inside the hat store and tried on various hats. After he found a hat he liked, he had his friend buy it for him. Marcus wore the hat the next day.","for, had, it, him., buy, his, friend"
83384dff-3f1d-45d3-be79-98d9e200d06c,Francisco often feels bored and lonely on Sunday mornings.,"While he is busy all week with work, on Sundays he doesn't see people.","While he is busy all week with work, on Sundays he is surrounded by friends.","Today, Francisco decides to go to a nearby coffee shop to read. As he sips coffee and reads his novel, he feels less lonely. Hearing conversations around him perk up his mood.","Today, Francisco decides to go to a nearby coffee shop to read and not see his friends. As he sips coffee and reads his novel, he feels less lonely. Hearing conversations around him perks up his mood.","not, see, friends., read, perks"
83384dff-3f1d-45d3-be79-98d9e200d06c,Francisco often feels bored and lonely on Sunday mornings.,"While he is busy all week with work, on Sundays he doesn't see people.","While he is busy all week with work, on Sundays he is surrounded by friends.","Today, Francisco decides to go to a nearby coffee shop to read. As he sips coffee and reads his novel, he feels less lonely. Hearing conversations around him perk up his mood.","Today, Francisco decides to go to a nearby coffee shop to meet friends. As he sips coffee and reads his novel, he feels less lonely. Hearing conversations around him perk up his mood.","meet, friends."
84480aa7-ac6c-4f67-8345-d42d0b76efaa,Malcolm was a brilliant mathematician.,He wrote many books on the subject.,"Despite being brilliant, he had no interest in writing books.",His books were easy to read and easy to understand. The helped people around the world. He found it very gratifying to share his expertise with people.,He knew his books would be hard to read and hard to understand. This wouldn't help people around the world. He found it very gratifying to know others are sharing their expertise on the topic with people.,"topic, wouldn't, know, others, knew, hard, would, This, on, be, help, their, are, sharing"
84480aa7-ac6c-4f67-8345-d42d0b76efaa,Malcolm was a brilliant mathematician.,He wrote many books on the subject.,"Despite being brilliant, he had no interest in writing books.",His books were easy to read and easy to understand. The helped people around the world. He found it very gratifying to share his expertise with people.,His lectures were easy to follow and easy to understand. The helped people around the world. He found it very gratifying to share his expertise with people.,"lectures, follow"
84480aa7-ac6c-4f67-8345-d42d0b76efaa,Malcolm was a brilliant mathematician.,He wrote many books on the subject.,"Despite being brilliant, he had no interest in writing books.",His books were easy to read and easy to understand. The helped people around the world. He found it very gratifying to share his expertise with people.,"His books were easy to read and easy to understand on the rare occasion he did pen one. They helped people around the world. He found it very gratifying to share his expertise with people, but still didn't like writing.","writing., understand, didn't, rare, people,, still, occasion, like, on, They, pen, but, one., he, did"
e0b5def0-6a98-4fc3-ad96-d1a4783e7ca7,Stewart and his sister were fighting over the TV remote.,"Their parents yelled at them to stop, but the kids persisted.","Their parents yelled at them to stop, so the kids stayed still.","During a tug of war over the remote, it flew out of their hands. The remote smashed into the TV screen, resulting in a big crack. Stewart and his sister were in trouble.","As their mom grabbed the remote, it flew out of her hands. The remote smashed into the TV screen, resulting in a big crack. Stewart and his sister tried not to laugh.","tried, not, her, to, grabbed, As, laugh., mom"
e0b5def0-6a98-4fc3-ad96-d1a4783e7ca7,Stewart and his sister were fighting over the TV remote.,"Their parents yelled at them to stop, but the kids persisted.","Their parents yelled at them to stop, so the kids stayed still.","During a tug of war over the remote, it flew out of their hands. The remote smashed into the TV screen, resulting in a big crack. Stewart and his sister were in trouble.","Later on, they had a tug of war over the remote, it flew out of their hands. The remote smashed into the TV screen, resulting in a big crack. Stewart and his sister were in trouble for disobeying their parents.","for, disobeying, Later, had, parents., trouble, they, on,"
e0b5def0-6a98-4fc3-ad96-d1a4783e7ca7,Stewart and his sister were fighting over the TV remote.,"Their parents yelled at them to stop, but the kids persisted.","Their parents yelled at them to stop, so the kids stayed still.","During a tug of war over the remote, it flew out of their hands. The remote smashed into the TV screen, resulting in a big crack. Stewart and his sister were in trouble.","During a tug of war over the remote later that day, it flew out of their hands. The remote smashed into the TV screen, resulting in a big crack. Stewart and his sister were in trouble at that point.","day,, trouble, later, point., at, that"
aca1cf58-a0cd-4110-ae36-f2523a72cdee,We would go camping every summer.,We would pack lunches and trek out.,We made sure to avoid packing potatoes since we are allergic.,We would stop at a rest stop for lunch. Typically it would be a McDonald's and I'd order fries. I love french fries.,We would stop at a rest stop for lunch. Typically it would be a McDonald's and I'd order a burger. I love burgers.,"burger., burgers."
aca1cf58-a0cd-4110-ae36-f2523a72cdee,We would go camping every summer.,We would pack lunches and trek out.,We made sure to avoid packing potatoes since we are allergic.,We would stop at a rest stop for lunch. Typically it would be a McDonald's and I'd order fries. I love french fries.,We would stop at a rest stop for lunch. Typically it would be a Subway and order sandwiches. I love sandwiches.,"Subway, sandwiches."
aca1cf58-a0cd-4110-ae36-f2523a72cdee,We would go camping every summer.,We would pack lunches and trek out.,We made sure to avoid packing potatoes since we are allergic.,We would stop at a rest stop for lunch. Typically it would be a McDonald's and I'd order fries. I love french fries.,We would stop at a rest stop for lunch. Typically it would be a McDonald's and I'd order chicken nuggets I hate french fries because we are allergic.,"fries, hate, allergic., chicken, we, nuggets, because, are"
f483608d-7386-48d1-8a13-25ff95a71c78,"Ted was seated at the bench at the airport, awaiting his flight.",A family approach Ted and asked him if he could watch something.,"A family passed Ted and he watched them as they walked away, exiting the terminal.",They asked him to watch a large box while they looked for their kid. Ted apologized and got up quickly and walked away. The family thought Ted was very rude.,They came back and asked him to watch a large box while they looked for their kid. Ted apologized and got up quickly and walked away. The family thought Ted was very rude.,"came, back"
f483608d-7386-48d1-8a13-25ff95a71c78,"Ted was seated at the bench at the airport, awaiting his flight.",A family approach Ted and asked him if he could watch something.,"A family passed Ted and he watched them as they walked away, exiting the terminal.",They asked him to watch a large box while they looked for their kid. Ted apologized and got up quickly and walked away. The family thought Ted was very rude.,They were carrying a large box while they looked for their kid. Ted eventually got up and walked away. The family was still looking for their kid.,"carrying, looking, still, eventually, were"
f7dce1a4-1fb8-4bf3-9aa3-09bd85bd3a1d,There was a turtle in the lake.,It climbed up on a rock to get into the sun.,It plunged down to the lake floor.,Suddenly the skies darkened. It started to rainy! The turtle climbed back into the lake.,Suddenly the skies darkened. It started to rain! The turtle had known it was going to rain.,"known, had, it, was, rain., going, rain!"
f7dce1a4-1fb8-4bf3-9aa3-09bd85bd3a1d,There was a turtle in the lake.,It climbed up on a rock to get into the sun.,It plunged down to the lake floor.,Suddenly the skies darkened. It started to rainy! The turtle climbed back into the lake.,Suddenly the skies darkened. It started to rain! The turtle stayed deep in the lake.,"stayed, deep, rain!, in"
aaf857da-951a-434d-9c4a-2ff499c5100d,Ray looked at his monthly power bill with anger.,He went around his house and began to shut off extra lights.,He went around his house and turned on every light.,On his second trip around the house he unplugged extra electronics. Ray say in the darkness with satisfaction. He knew his next bill would be lower.,On his second trip around the house he plugged extra electronics. Ray sat in the bright light with satisfaction. He knew his next bill would be higher.,"plugged, sat, higher., light, bright"
aaf857da-951a-434d-9c4a-2ff499c5100d,Ray looked at his monthly power bill with anger.,He went around his house and began to shut off extra lights.,He went around his house and turned on every light.,On his second trip around the house he unplugged extra electronics. Ray say in the darkness with satisfaction. He knew his next bill would be lower.,On his second trip around the house he plugged in extra electronics Ray sat in the brightness with satisfaction. If his bill was going to be that high he was going to make it worth it.,"plugged, to, sat, it, electronics, was, going, that, worth, high, it., brightness, If, make"
aaf857da-951a-434d-9c4a-2ff499c5100d,Ray looked at his monthly power bill with anger.,He went around his house and began to shut off extra lights.,He went around his house and turned on every light.,On his second trip around the house he unplugged extra electronics. Ray say in the darkness with satisfaction. He knew his next bill would be lower.,"On his second trip around the house he turned on extra electronics. Ray sat in the noise and light with satisfaction. He knew his next bill would be higher, but he didn't care at all.","didn't, and, sat, care, light, higher,, on, all., turned, at, noise, but"
afce53c3-3bec-4a52-b370-337d64bc60e1,Dennis was walking in the woods.,He found a black lab.,He found a box turtle.,The lab tried to bite him. Dennis showed he was a friend not enemy. The lab and Dennis became best friends.,The turtle tried to bite him. Dennis showed he was a friend not enemy. The turtle and Dennis became best friends.,turtle
afce53c3-3bec-4a52-b370-337d64bc60e1,Dennis was walking in the woods.,He found a black lab.,He found a box turtle.,The lab tried to bite him. Dennis showed he was a friend not enemy. The lab and Dennis became best friends.,The turtle tried to bite him. Dennis showed he was a friend not enemy. The turtle and Dennis became best friends.,turtle
afce53c3-3bec-4a52-b370-337d64bc60e1,Dennis was walking in the woods.,He found a black lab.,He found a box turtle.,The lab tried to bite him. Dennis showed he was a friend not enemy. The lab and Dennis became best friends.,The turtle tried to bite him. Dennis showed he was a friend not enemy. The turtle and Dennis became best friends.,turtle
0c8164ef-71ae-4d77-b085-4b9209079b15,Timmy was on an eco-tour in the forest.,He was studying bats.,He was there for recreation.,He set up cameras and observed their habits. After a week he had collected lots of data. Tim could finally write his paper on bats.,He set up cameras and observed what has human being turned the forest into. After two week he had collected lots of data. Tim could finally think of a way to restore it.,"human, restore, to, way, two, think, forest, the, has, turned, into., being, it., what"
0d4f5e11-f88b-46e7-9b18-fe9afe1aa27f,Kelly took an afternoon hike with her husband.,"Halfway through the hike, her husband stopped.","Halfway through the hike, her husband clutched his chest and fell violently to the ground.","He pointed to the ground, where several animal tracks were present. Kelly knelt down to examine the tracks more closely. They were deer tracks.",He was having a heart attack. Kelly didn't know what to do. She freaked out and ran back to the car for help.,"out, didn't, know, and, car, back, for, She, help., heart, freaked, attack., ran, was, having, a, what, do."
ff076fa5-a71c-49fc-a366-b6f69d9bb64e,I woke up on my twenty first birthday excited.,I knew that I was going to buy my first beer.,I knew I was going to buy my first bottle of champagne.,I went to the grocery store with my ID. I found a reliable beer and purchased it. I brought the beer home and enjoyed my first legal drink!,I went to the grocery store with my ID. I found a reliable champagne and purchased it. I brought the champagne home and enjoyed my first legal drink!,champagne
748b59d5-1ddc-4ad6-858f-6b2434322802,Bob wanted to bake a birthday cake for his wife.,He mixed all of the ingredients together in a bowl.,He mixed all of the ingredients together in a bowl but dropped the bowl.,"Then, Bob poured the batter into a pan. He baked the cake for 30 minutes. The cake turned out perfectly.","Then, Bob made more batter and put it into a pan. He baked the cake for 30 minutes. The cake turned out perfectly.","and, more, it, put, made"
